"Reporter","Partner","HS2_Code","Commodity","Value","Growth","Growth4Graph","AverageGrowth","RCA","RCA4Graph","Quadrant","x","y","GrowthRCA_ImportHS2_Group_Code","GrowthRCA_ImportHS2_Description","ProductGroup_Group_Code","ProductGroup_Description"
"Lao PDR","Viet Nam","08","Fruit and nuts, edible; peel of citrus fruit or melons",78712.00,"-36.2604259454207",-36.26,15.84,0.02,0.02,"DOG",-1,-1,"2","Vegetable Products",2.00,"Vegetable"
"Lao PDR","Viet Nam","09","Coffee, tea, mate and spices",820290.00,"34.4861167582598",34.48,15.84,5.91,5.91,"STAR",1,1,"2","Vegetable Products",2.00,"Vegetable"
"Lao PDR","Viet Nam","10","Cereals",1124633.00,"-24.386534509646",-24.38,15.84,0.22,0.22,"DOG",-1,-1,"2","Vegetable Products",2.00,"Vegetable"
"Lao PDR","Viet Nam","11","Products of the milling industry; malt, starches, inulin, wheat gluten",1749868.00,"158.503256648097",100.00,15.84,0.93,0.93,"INTRO",-1,1,"2","Vegetable Products",2.00,"Vegetable"
"Lao PDR","Viet Nam","12","Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",406079.00,"-29.9993849418598",-29.99,15.84,1.51,1.51,"COW",1,-1,"2","Vegetable Products",2.00,"Vegetable"
"Lao PDR","Viet Nam","13","Lac; gums, resins and other vegetable saps and extracts",9640.00,"-14.5390070921986",-14.53,15.84,0.35,0.35,"DOG",-2,-1,"2","Vegetable Products",2.00,"Vegetable"
"Lao PDR","Viet Nam","15","Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes",2395114.00,"25.3137003300606",25.31,15.84,4.07,4.07,"STAR",1,1,"2","Vegetable Products",2.00,"Vegetable"
"Lao PDR","Viet Nam","16","Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",850732.00,"549.681548119072",100.00,15.84,2.68,2.68,"STAR",2,1,"3","Foodstuffs",3.00,"Food Products"
"Lao PDR","Viet Nam","17","Sugars and sugar confectionery",254283.00,"-17.3466601657728",-17.34,15.84,0.03,0.03,"DOG",-1,-1,"3","Foodstuffs",3.00,"Food Products"
"Lao PDR","Viet Nam","18","Cocoa and cocoa preparations",378.00,"-67.1875",-67.18,15.84,8.27450593312752e-03,8.27450593312752e-03,"DOG",-2,-1,"3","Foodstuffs",3.00,"Food Products"
"Lao PDR","Viet Nam","19","Preparations of cereals, flour, starch or milk; pastrycooks' products",659720.00,"8.06436817758908",8.06,15.84,0.53,0.53,"DOG",-1,-1,"3","Foodstuffs",3.00,"Food Products"
"Lao PDR","Viet Nam","20","Preparations of vegetables, fruit, nuts or other parts of plants",441580.00,"748340.677966102",100.00,15.84,1.24,1.24,"STAR",1,1,"3","Foodstuffs",3.00,"Food Products"
"Lao PDR","Viet Nam","21","Miscellaneous edible preparations",417631.00,"-8.531799047715",-8.53,15.84,0.26,0.26,"DOG",-1,-1,"3","Foodstuffs",3.00,"Food Products"
"Lao PDR","Viet Nam","22","Beverages, spirits and vinegar",10477039.00,"-27.7702475057664",-27.77,15.84,0.40,0.40,"DOG",-1,-1,"3","Foodstuffs",3.00,"Food Products"
"Lao PDR","Viet Nam","23","Food industries, residues and wastes thereof; prepared animal fodder",3182054.00,"58.221121183672",58.22,15.84,0.54,0.54,"INTRO",-1,1,"3","Foodstuffs",3.00,"Food Products"
"Lao PDR","Viet Nam","24","Tobacco and manufactured tobacco substitutes",809434.00,"26.3238555405214",26.32,15.84,0.17,0.17,"INTRO",-1,1,"3","Foodstuffs",3.00,"Food Products"
"Lao PDR","Viet Nam","25","Salt; sulphur; earths, stone; plastering materials, lime and cement",10256927.00,"-27.5623121060385",-27.56,15.84,1.17,1.17,"COW",2,-1,"4","Mineral Products",4.00,"Minerals"
"Lao PDR","Viet Nam","26","Ores, slag and ash",71954.00,"390.283121911201",100.00,15.84,0.07,0.07,"INTRO",-1,1,"4","Mineral Products",4.00,"Minerals"
"Lao PDR","Viet Nam","27","Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",87824624.00,"18.8642713526544",18.86,15.84,1.21,1.21,"STAR",1,1,"5","Chemicals & Allied Industries",5.00,"Fuels"
"Lao PDR","Viet Nam","28","Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",1980436.00,"60.2584804804042",60.25,15.84,0.33,0.33,"INTRO",-1,1,"6","Plastics / Rubbers",6.00,"Chemicals"
"Lao PDR","Viet Nam","29","Organic chemicals",1146359.00,"57.0115749774753",57.01,15.84,0.57,0.57,"INTRO",-1,1,"6","Plastics / Rubbers",6.00,"Chemicals"
"Lao PDR","Viet Nam","30","Pharmaceutical products",690153.00,"-0.223320100674031",-0.22,15.84,0.30,0.30,"DOG",-1,-1,"6","Plastics / Rubbers",6.00,"Chemicals"
"Lao PDR","Viet Nam","31","Fertilizers",11230036.00,"39.7216623019319",39.72,15.84,1.99,1.99,"STAR",1,1,"6","Plastics / Rubbers",6.00,"Chemicals"
"Lao PDR","Viet Nam","32","Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints, varnishes; putty, other mastics; inks",918802.00,"14.0667780574085",14.06,15.84,0.46,0.46,"DOG",-1,-1,"6","Plastics / Rubbers",6.00,"Chemicals"
"Lao PDR","Viet Nam","33","Essential oils and resinoids; perfumery, cosmetic or toilet preparations",46029.00,"-68.114466219165",-68.11,15.84,0.01,0.01,"DOG",-2,-1,"6","Plastics / Rubbers",6.00,"Chemicals"
"Lao PDR","Viet Nam","34","Soap, organic surface-active agents; washing, lubricating, polishing or scouring preparations; artificial or prepared waxes, candles and similar articles, modelling pastes, dental waxes and dental preparations with a basis of plaster",622574.00,"1330.97432597053",100.00,15.84,0.53,0.53,"INTRO",-1,1,"6","Plastics / Rubbers",6.00,"Chemicals"
"Lao PDR","Viet Nam","35","Albuminoidal substances; modified starches; glues; enzymes",229593.00,"-15.4724080421473",-15.47,15.84,0.59,0.59,"DOG",-2,-1,"6","Plastics / Rubbers",6.00,"Chemicals"
"Lao PDR","Viet Nam","36","Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations",4335247.00,"-40.3793254157188",-40.37,15.84,3.95,3.95,"COW",1,-1,"6","Plastics / Rubbers",6.00,"Chemicals"
"Lao PDR","Viet Nam","37","Photographic or cinematographic goods",331.00,"Infinity",100.00,15.84,0.02,0.02,"INTRO",-1,1,"6","Plastics / Rubbers",6.00,"Chemicals"
"Lao PDR","Viet Nam","38","Chemical products n.e.c.",2132509.00,"6.00020197861801",6.00,15.84,1.10,1.10,"COW",1,-1,"6","Plastics / Rubbers",6.00,"Chemicals"
"Lao PDR","Viet Nam","39","Plastics and articles thereof",7277866.32,"65.0406467339258",65.04,15.84,0.60,0.60,"INTRO",-1,2,"7","Raw Hides, Skins, Leather, & Furs",7.00,"Plastic or Rubber"
"Lao PDR","Viet Nam","40","Rubber and articles thereof",6430988.36,"64.5800115875696",64.58,15.84,1.03,1.03,"STAR",1,1,"7","Raw Hides, Skins, Leather, & Furs",7.00,"Plastic or Rubber"
"Lao PDR","Viet Nam","42","Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut)",1953605.00,"-38.5357386613248",-38.53,15.84,4.50,4.50,"COW",1,-1,"8","Wood & Wood Products",8.00,"Hides and Skins"
"Lao PDR","Viet Nam","44","Wood and articles of wood; wood charcoal",1508897.00,"-45.8262723764077",-45.82,15.84,1.30,1.30,"COW",1,-1,"9","Textiles",9.00,"Wood"
"Lao PDR","Viet Nam","45","Cork and articles of cork",13873.00,"13.480572597137",13.48,15.84,0.11,0.11,"DOG",-1,-1,"9","Textiles",9.00,"Wood"
"Lao PDR","Viet Nam","46","Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",11425.00,"-29.3007425742574",-29.30,15.84,0.94,0.94,"DOG",-1,-1,"9","Textiles",9.00,"Wood"
"Lao PDR","Viet Nam","47","Pulp of wood or other fibrous cellulosic material; recovered (waste and scrap) paper or paperboard",26821.00,"241.234096692112",100.00,15.84,3.69,3.69,"STAR",1,1,"9","Textiles",9.00,"Wood"
"Lao PDR","Viet Nam","48","Paper and paperboard; articles of paper pulp, of paper or paperboard",7197532.32,"122.518500973835",100.00,15.84,0.90,0.90,"INTRO",-1,2,"9","Textiles",9.00,"Wood"
"Lao PDR","Viet Nam","49","Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans",433981.00,"-5.67300842768149",-5.67,15.84,1.76,1.76,"COW",1,-1,"9","Textiles",9.00,"Wood"
"Lao PDR","Viet Nam","50","Silk",250895.00,"-61.6131371673021",-61.61,15.84,2.39,2.39,"COW",1,-1,"10","Footwear / Headgear",10.00,"Textiles and Clothing"
"Lao PDR","Viet Nam","52","Cotton",5686149.14,"23.2247127384603",23.22,15.84,1.97,1.97,"STAR",2,1,"10","Footwear / Headgear",10.00,"Textiles and Clothing"
"Lao PDR","Viet Nam","53","Vegetable textile fibres; paper yarn and woven fabrics of paper yarn",98886.00,"7.85171289277651",7.85,15.84,2.21,2.21,"COW",1,-1,"10","Footwear / Headgear",10.00,"Textiles and Clothing"
"Lao PDR","Viet Nam","54","Man-made filaments; strip and the like of man-made textile materials",694251.00,"-22.0948985445317",-22.09,15.84,1.65,1.65,"COW",1,-1,"9","Textiles",10.00,"Textiles and Clothing"
"Lao PDR","Viet Nam","55","Man-made staple fibres",2409343.00,"-30.3030499651563",-30.30,15.84,0.53,0.53,"DOG",-1,-1,"9","Textiles",10.00,"Textiles and Clothing"
"Lao PDR","Viet Nam","56","Wadding, felt and nonwovens, special yarns; twine, cordage, ropes and cables and articles thereof",221189.00,"72.7319660850626",72.73,15.84,0.53,0.53,"INTRO",-1,1,"9","Textiles",10.00,"Textiles and Clothing"
"Lao PDR","Viet Nam","57","Carpets and other textile floor coverings",45915.00,"-87.0207515328319",-87.02,15.84,2.19,2.19,"COW",1,-1,"9","Textiles",10.00,"Textiles and Clothing"
"Lao PDR","Viet Nam","58","Fabrics; special woven fabrics, tufted textile fabrics, lace, tapestries, trimmings, embroidery",1622527.65,"-48.1272745023229",-48.12,15.84,2.98,2.98,"COW",1,-1,"9","Textiles",10.00,"Textiles and Clothing"
"Lao PDR","Viet Nam","59","Textile fabrics; impregnated, coated, covered or laminated; textile articles of a kind suitable for industrial use",435520.00,"-8.54039739482933",-8.54,15.84,0.74,0.74,"DOG",-1,-1,"9","Textiles",10.00,"Textiles and Clothing"
"Lao PDR","Viet Nam","60","Fabrics; knitted or crocheted",251016.00,"104.016197040751",100.00,15.84,0.21,0.21,"INTRO",-1,1,"9","Textiles",10.00,"Textiles and Clothing"
"Lao PDR","Viet Nam","61","Apparel and clothing accessories; knitted or crocheted",1063516.00,"35.377398185349",35.37,15.84,3.43,3.43,"STAR",1,1,"9","Textiles",10.00,"Textiles and Clothing"
"Lao PDR","Viet Nam","62","Apparel and clothing accessories; not knitted or crocheted",3833843.00,"-48.4619176410893",-48.46,15.84,3.19,3.19,"COW",1,-1,"9","Textiles",10.00,"Textiles and Clothing"
"Lao PDR","Viet Nam","63","Textiles, made up articles; sets; worn clothing and worn textile articles; rags",2080641.00,"12.4882033254439",12.48,15.84,1.46,1.46,"COW",1,-1,"9","Textiles",10.00,"Textiles and Clothing"
"Lao PDR","Viet Nam","64","Footwear; gaiters and the like; parts of such articles",1742496.00,"-27.2851386193605",-27.28,15.84,2.26,2.26,"COW",1,-1,"10","Footwear / Headgear",11.00,"Footwear"
"Lao PDR","Viet Nam","65","Headgear and parts thereof",575064.00,"992.636940622647",100.00,15.84,3.97,3.97,"STAR",1,1,"10","Footwear / Headgear",11.00,"Footwear"
"Lao PDR","Viet Nam","66","Umbrellas, sun umbrellas, walking-sticks, seat sticks, whips, riding crops; and parts thereof",24784.00,"92.630844252242",92.63,15.84,0.93,0.93,"INTRO",-1,1,"10","Footwear / Headgear",11.00,"Footwear"
"Lao PDR","Viet Nam","67","Feathers and down, prepared; and articles made of feather or of down; artificial flowers; articles of human hair",50023.00,"1042.07762557078",100.00,15.84,2.07,2.07,"STAR",1,1,"10","Footwear / Headgear",11.00,"Footwear"
"Lao PDR","Viet Nam","68","Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",1226333.00,"30.4001701589766",30.40,15.84,0.45,0.45,"INTRO",-1,1,"11","Stone / Glass",12.00,"Stone and Glass"
"Lao PDR","Viet Nam","69","Ceramic products",3838740.00,"-20.7435803701995",-20.74,15.84,0.74,0.74,"DOG",-1,-1,"11","Stone / Glass",12.00,"Stone and Glass"
"Lao PDR","Viet Nam","70","Glass and glassware",390065.00,"-57.645694565113",-57.64,15.84,0.23,0.23,"DOG",-1,-1,"11","Stone / Glass",12.00,"Stone and Glass"
"Lao PDR","Viet Nam","71","Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",732332.00,"3303.34919913486",100.00,15.84,0.12,0.12,"INTRO",-1,1,"11","Stone / Glass",12.00,"Stone and Glass"
"Lao PDR","Viet Nam","72","Iron and steel",41723669.00,"-11.4088259727364",-11.40,15.84,2.22,2.22,"COW",1,-1,"12","Metals",13.00,"Metals"
"Lao PDR","Viet Nam","73","Iron or steel articles",48520679.00,"214.897578977333",100.00,15.84,1.76,1.76,"STAR",2,1,"12","Metals",13.00,"Metals"
"Lao PDR","Viet Nam","74","Copper and articles thereof",322130.00,"415.224580049502",100.00,15.84,0.61,0.61,"INTRO",-1,1,"12","Metals",13.00,"Metals"
"Lao PDR","Viet Nam","75","Nickel and articles thereof",3310.00,"Infinity",100.00,15.84,0.06,0.06,"INTRO",-1,1,"12","Metals",13.00,"Metals"
"Lao PDR","Viet Nam","76","Aluminium and articles thereof",3116590.00,"-0.0226869608538709",-0.02,15.84,1.58,1.58,"COW",1,-1,"12","Metals",13.00,"Metals"
"Lao PDR","Viet Nam","78","Lead and articles thereof",56846.00,"Infinity",100.00,15.84,0.28,0.28,"INTRO",-1,1,"12","Metals",13.00,"Metals"
"Lao PDR","Viet Nam","79","Zinc and articles thereof",1390274.00,"20.1376533819831",20.13,15.84,1.38,1.38,"STAR",1,1,"12","Metals",13.00,"Metals"
"Lao PDR","Viet Nam","80","Tin; articles thereof",1058.00,"Infinity",100.00,15.84,0.35,0.35,"INTRO",-1,1,"12","Metals",13.00,"Metals"
"Lao PDR","Viet Nam","81","Metals; n.e.c., cermets and articles thereof",1309344.00,"19.2499771854308",19.24,15.84,5.21,5.21,"STAR",1,1,"12","Metals",13.00,"Metals"
"Lao PDR","Viet Nam","82","Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",203158.00,"-57.9019803152314",-57.90,15.84,0.28,0.28,"DOG",-1,-1,"12","Metals",13.00,"Metals"
"Lao PDR","Viet Nam","83","Metal; miscellaneous products of base metal",550771.00,"-40.9364227541351",-40.93,15.84,0.38,0.38,"DOG",-2,-1,"12","Metals",13.00,"Metals"
"Lao PDR","Viet Nam","84","Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",86428998.00,"151.023319622271",100.00,15.84,1.56,1.56,"STAR",1,1,"13","Machinery / Electrical",14.00,"Machinery/Electrical"
"Lao PDR","Viet Nam","85","Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",38685051.00,"5.64269147089818",5.64,15.84,0.45,0.45,"DOG",-1,-1,"13","Machinery / Electrical",14.00,"Machinery/Electrical"
"Lao PDR","Viet Nam","86","Railway, tramway locomotives, rolling-stock and parts thereof; railway or tramway track fixtures and fittings and parts thereof; mechanical (including electro-mechanical) traffic signalling equipment of all kinds",77898.00,"32.6939783664083",32.69,15.84,0.73,0.73,"INTRO",-1,2,"14","Transportation",15.00,"Transportation"
"Lao PDR","Viet Nam","87","Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",60405961.00,"15.4214748331966",15.42,15.84,0.90,0.90,"DOG",-1,-2,"14","Transportation",15.00,"Transportation"
"Lao PDR","Viet Nam","88","Aircraft, spacecraft and parts thereof",1188377.00,"702.925640917191",100.00,15.84,0.24,0.24,"INTRO",-1,2,"14","Transportation",15.00,"Transportation"
"Lao PDR","Viet Nam","89","Ships, boats and floating structures",43489.00,"-57.4769784708687",-57.47,15.84,0.11,0.11,"DOG",-2,-1,"14","Transportation",15.00,"Transportation"
"Lao PDR","Viet Nam","90","Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",2168277.00,"-12.2388739827365",-12.23,15.84,0.35,0.35,"DOG",-1,-1,"15","Miscellaneous",16.00,"Miscellaneous"
"Lao PDR","Viet Nam","91","Clocks and watches and parts thereof",6315.00,"-86.1701195742631",-86.17,15.84,0.14,0.14,"DOG",-1,-1,"15","Miscellaneous",16.00,"Miscellaneous"
"Lao PDR","Viet Nam","92","Musical instruments; parts and accessories of such articles",1860.00,"-85.0446249095441",-85.04,15.84,0.09,0.09,"DOG",-1,-1,"15","Miscellaneous",16.00,"Miscellaneous"
"Lao PDR","Viet Nam","94","Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; lamps and lighting fittings, n.e.c.; illuminated signs, illuminated name-plates and the like; prefabricated buildings",6449289.00,"-48.4311183070221",-48.43,15.84,1.81,1.81,"COW",1,-1,"15","Miscellaneous",16.00,"Miscellaneous"
"Lao PDR","Viet Nam","95","Toys, games and sports requisites; parts and accessories thereof",530730.00,"-56.395033570722",-56.39,15.84,1.50,1.50,"COW",1,-1,"15","Miscellaneous",16.00,"Miscellaneous"
"Lao PDR","Viet Nam","96","Miscellaneous manufactured articles",1221144.01,"-26.1966128252356",-26.19,15.84,1.29,1.29,"COW",1,-1,"15","Miscellaneous",16.00,"Miscellaneous"
"Lao PDR","Viet Nam","97","Works of art; collectors' pieces and antiques",51114.00,"321.663091899027",100.00,15.84,1.20,1.20,"STAR",1,1,"15","Miscellaneous",16.00,"Miscellaneous"
"Myanmar","Cambodia","24","Tobacco and manufactured tobacco substitutes",17534.59,"Infinity",100.00,65.49,3.39,3.39,"STAR",1,1,"3","Foodstuffs",3.00,"Food Products"
"Myanmar","Cambodia","33","Essential oils and resinoids; perfumery, cosmetic or toilet preparations",21727.92,"Infinity",100.00,65.49,1.67,1.67,"STAR",1,1,"6","Plastics / Rubbers",6.00,"Chemicals"
"Myanmar","Cambodia","34","Soap, organic surface-active agents; washing, lubricating, polishing or scouring preparations; artificial or prepared waxes, candles and similar articles, modelling pastes, dental waxes and dental preparations with a basis of plaster",14793.65,"Infinity",100.00,65.49,2.13,2.13,"STAR",1,1,"6","Plastics / Rubbers",6.00,"Chemicals"
"Myanmar","Cambodia","38","Chemical products n.e.c.",100800.00,"1596.9696969697",100.00,65.49,8.81,8.81,"STAR",1,1,"6","Plastics / Rubbers",6.00,"Chemicals"
"Myanmar","Cambodia","39","Plastics and articles thereof",6346.85,"-84.981300129083",-84.98,65.49,0.11,0.11,"DOG",-1,-1,"7","Raw Hides, Skins, Leather, & Furs",7.00,"Plastic or Rubber"
"Myanmar","Cambodia","40","Rubber and articles thereof",9.99,"-99.9760654240493",-99.97,65.49,8.63787084222384e-04,8.63787084222384e-04,"DOG",-1,-1,"7","Raw Hides, Skins, Leather, & Furs",7.00,"Plastic or Rubber"
"Myanmar","Cambodia","42","Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut)",73156.19,"1318.26135676288",100.00,65.49,23.84,10.00,"STAR",1,1,"8","Wood & Wood Products",8.00,"Hides and Skins"
"Myanmar","Cambodia","48","Paper and paperboard; articles of paper pulp, of paper or paperboard",253868.08,"57491.2706154579",100.00,65.49,11.68,10.00,"STAR",1,1,"9","Textiles",9.00,"Wood"
"Myanmar","Cambodia","49","Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans",259.96,"Infinity",100.00,65.49,0.37,0.37,"INTRO",-1,1,"9","Textiles",9.00,"Wood"
"Myanmar","Cambodia","52","Cotton",381135.38,"719.452834342701",100.00,65.49,32.07,10.00,"STAR",1,1,"10","Footwear / Headgear",10.00,"Textiles and Clothing"
"Myanmar","Cambodia","54","Man-made filaments; strip and the like of man-made textile materials",76717.50,"Infinity",100.00,65.49,4.37,4.37,"STAR",1,1,"9","Textiles",10.00,"Textiles and Clothing"
"Myanmar","Cambodia","55","Man-made staple fibres",27458.05,"1003.17154209907",100.00,65.49,0.50,0.50,"INTRO",-1,1,"9","Textiles",10.00,"Textiles and Clothing"
"Myanmar","Cambodia","56","Wadding, felt and nonwovens, special yarns; twine, cordage, ropes and cables and articles thereof",697.40,"Infinity",100.00,65.49,0.17,0.17,"INTRO",-1,1,"9","Textiles",10.00,"Textiles and Clothing"
"Myanmar","Cambodia","58","Fabrics; special woven fabrics, tufted textile fabrics, lace, tapestries, trimmings, embroidery",86450.02,"Infinity",100.00,65.49,9.16,9.16,"STAR",1,1,"9","Textiles",10.00,"Textiles and Clothing"
"Myanmar","Cambodia","60","Fabrics; knitted or crocheted",45.60,"Infinity",100.00,65.49,7.48273257385135e-03,7.48273257385135e-03,"INTRO",-1,1,"9","Textiles",10.00,"Textiles and Clothing"
"Myanmar","Cambodia","61","Apparel and clothing accessories; knitted or crocheted",27989.75,"11095.9",100.00,65.49,8.30,8.30,"STAR",1,1,"9","Textiles",10.00,"Textiles and Clothing"
"Myanmar","Cambodia","62","Apparel and clothing accessories; not knitted or crocheted",16964.46,"2017.91011235955",100.00,65.49,7.10,7.10,"STAR",1,1,"9","Textiles",10.00,"Textiles and Clothing"
"Myanmar","Cambodia","63","Textiles, made up articles; sets; worn clothing and worn textile articles; rags",159.99,"Infinity",100.00,65.49,0.05,0.05,"INTRO",-1,1,"9","Textiles",10.00,"Textiles and Clothing"
"Myanmar","Cambodia","64","Footwear; gaiters and the like; parts of such articles",150.00,"-97.9479883445738",-97.94,65.49,0.02,0.02,"DOG",-1,-1,"10","Footwear / Headgear",11.00,"Footwear"
"Myanmar","Cambodia","66","Umbrellas, sun umbrellas, walking-sticks, seat sticks, whips, riding crops; and parts thereof",1693.43,"Infinity",100.00,65.49,6.47,6.47,"STAR",1,1,"10","Footwear / Headgear",11.00,"Footwear"
"Myanmar","Cambodia","69","Ceramic products",99.99,"Infinity",100.00,65.49,9.72774659157932e-03,9.72774659157932e-03,"INTRO",-1,1,"11","Stone / Glass",12.00,"Stone and Glass"
"Myanmar","Cambodia","73","Iron or steel articles",4790.00,"-96.9050849647865",-96.90,65.49,0.11,0.11,"DOG",-1,-1,"12","Metals",13.00,"Metals"
"Myanmar","Cambodia","83","Metal; miscellaneous products of base metal",856.74,"Infinity",100.00,65.49,0.16,0.16,"INTRO",-1,1,"12","Metals",13.00,"Metals"
"Myanmar","Cambodia","84","Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",368346.55,"726.496582017007",100.00,65.49,2.69,2.69,"STAR",1,1,"13","Machinery / Electrical",14.00,"Machinery/Electrical"
"Myanmar","Cambodia","85","Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",1942.48,"-98.3661535873497",-98.36,65.49,0.01,0.01,"DOG",-1,-1,"13","Machinery / Electrical",14.00,"Machinery/Electrical"
"Myanmar","Cambodia","90","Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",4796.07,"-25.8960025216005",-25.89,65.49,0.24,0.24,"DOG",-1,-1,"15","Miscellaneous",16.00,"Miscellaneous"
"Myanmar","Cambodia","92","Musical instruments; parts and accessories of such articles",220.00,"Infinity",100.00,65.49,2.35,2.35,"STAR",1,1,"15","Miscellaneous",16.00,"Miscellaneous"
"Myanmar","Cambodia","94","Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; lamps and lighting fittings, n.e.c.; illuminated signs, illuminated name-plates and the like; prefabricated buildings",2338.96,"Infinity",100.00,65.49,0.20,0.20,"INTRO",-1,1,"15","Miscellaneous",16.00,"Miscellaneous"
"Myanmar","Cambodia","95","Toys, games and sports requisites; parts and accessories thereof",3418.87,"345240.404040404",100.00,65.49,1.77,1.77,"STAR",1,1,"15","Miscellaneous",16.00,"Miscellaneous"
"Myanmar","Cambodia","96","Miscellaneous manufactured articles",1739.69,"1391.37591084441",100.00,65.49,0.15,0.15,"INTRO",-1,1,"15","Miscellaneous",16.00,"Miscellaneous"
"Myanmar","Cambodia","97","Works of art; collectors' pieces and antiques",119.98,"Infinity",100.00,65.49,2.16,2.16,"STAR",1,1,"15","Miscellaneous",16.00,"Miscellaneous"
"Myanmar","Cambodia","99","Other products",48962.93,"Infinity",100.00,65.49,5.02,5.02,"STAR",1,1,"15","Miscellaneous",16.00,"Miscellaneous"
"Myanmar","Lao PDR","30","Pharmaceutical products",50.00,"Infinity",100.00,70.34,1.15425862184989e-03,1.15425862184989e-03,"INTRO",-1,1,"6","Plastics / Rubbers",6.00,"Chemicals"
"Myanmar","Lao PDR","31","Fertilizers",1541274.61,"1251.99527192982",100.00,70.34,61.39,10.00,"STAR",1,1,"6","Plastics / Rubbers",6.00,"Chemicals"
"Myanmar","Lao PDR","33","Essential oils and resinoids; perfumery, cosmetic or toilet preparations",75.00,"Infinity",100.00,70.34,5.63021228643257e-03,5.63021228643257e-03,"INTRO",-1,1,"6","Plastics / Rubbers",6.00,"Chemicals"
"Myanmar","Lao PDR","39","Plastics and articles thereof",110.00,"Infinity",100.00,70.34,1.92519926701357e-03,1.92519926701357e-03,"INTRO",-1,1,"7","Raw Hides, Skins, Leather, & Furs",7.00,"Plastic or Rubber"
"Myanmar","Lao PDR","42","Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut)",295.00,"Infinity",100.00,70.34,0.09,0.09,"INTRO",-1,1,"8","Wood & Wood Products",8.00,"Hides and Skins"
"Myanmar","Lao PDR","44","Wood and articles of wood; wood charcoal",30.00,"-99.7796157821546",-99.77,70.34,8.64128402351514e-03,8.64128402351514e-03,"DOG",-1,-1,"9","Textiles",9.00,"Wood"
"Myanmar","Lao PDR","48","Paper and paperboard; articles of paper pulp, of paper or paperboard",40.00,"Infinity",100.00,70.34,1.79461353670798e-03,1.79461353670798e-03,"INTRO",-1,1,"9","Textiles",9.00,"Wood"
"Myanmar","Lao PDR","56","Wadding, felt and nonwovens, special yarns; twine, cordage, ropes and cables and articles thereof",15.00,"Infinity",100.00,70.34,3.57711324426247e-03,3.57711324426247e-03,"INTRO",-1,2,"9","Textiles",10.00,"Textiles and Clothing"
"Myanmar","Lao PDR","61","Apparel and clothing accessories; knitted or crocheted",7269.82,"Infinity",100.00,70.34,2.10,2.10,"STAR",2,1,"9","Textiles",10.00,"Textiles and Clothing"
"Myanmar","Lao PDR","62","Apparel and clothing accessories; not knitted or crocheted",1289.06,"Infinity",100.00,70.34,0.52,0.52,"INTRO",-1,1,"9","Textiles",10.00,"Textiles and Clothing"
"Myanmar","Lao PDR","63","Textiles, made up articles; sets; worn clothing and worn textile articles; rags",150.00,"Infinity",100.00,70.34,0.04,0.04,"INTRO",-1,2,"9","Textiles",10.00,"Textiles and Clothing"
"Myanmar","Lao PDR","64","Footwear; gaiters and the like; parts of such articles",5.00,"Infinity",100.00,70.34,8.22358661636398e-04,8.22358661636398e-04,"INTRO",-1,1,"10","Footwear / Headgear",11.00,"Footwear"
"Myanmar","Lao PDR","66","Umbrellas, sun umbrellas, walking-sticks, seat sticks, whips, riding crops; and parts thereof",25.00,"Infinity",100.00,70.34,0.09,0.09,"INTRO",-1,1,"10","Footwear / Headgear",11.00,"Footwear"
"Myanmar","Lao PDR","70","Glass and glassware",115.00,"Infinity",100.00,70.34,0.01,0.01,"INTRO",-1,1,"11","Stone / Glass",12.00,"Stone and Glass"
