"Reporter","Partner","HS2_Code","Commodity","Value","Growth","Growth4Graph","AverageGrowth","RCA","RCA4Graph","Quadrant","x","y","GrowthRCA_ImportHS2_Group_Code","GrowthRCA_ImportHS2_Description","ProductGroup_Group_Code","ProductGroup_Description"
"Cambodia","Thailand","15","Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes",1090123.89,"-48.5634728853602",-48.56,-63.10,1.34,1.34,"STAR",1,1,"2","Vegetable Products",2.00,"Vegetable"
"Cambodia","Thailand","16","Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",1807941.63,"-68.1426968858331",-68.14,-63.10,5.15,5.15,"COW",1,-1,"3","Foodstuffs",3.00,"Food Products"
"Cambodia","Thailand","17","Sugars and sugar confectionery",10289646.14,"-65.7675112106756",-65.76,-63.10,4.89,4.89,"COW",1,-1,"3","Foodstuffs",3.00,"Food Products"
"Cambodia","Thailand","18","Cocoa and cocoa preparations",18764.00,"-61.154886505774",-61.15,-63.10,0.25,0.25,"INTRO",-1,1,"3","Foodstuffs",3.00,"Food Products"
"Cambodia","Thailand","19","Preparations of cereals, flour, starch or milk; pastrycooks' products",3374392.94,"-74.9793730844437",-74.97,-63.10,0.85,0.85,"DOG",-1,-1,"3","Foodstuffs",3.00,"Food Products"
"Cambodia","Thailand","20","Preparations of vegetables, fruit, nuts or other parts of plants",727567.34,"-80.6908663788366",-80.69,-63.10,1.59,1.59,"COW",1,-1,"3","Foodstuffs",3.00,"Food Products"
"Cambodia","Thailand","21","Miscellaneous edible preparations",8857441.70,"-68.1399607159443",-68.13,-63.10,2.77,2.77,"COW",1,-1,"3","Foodstuffs",3.00,"Food Products"
"Cambodia","Thailand","22","Beverages, spirits and vinegar",40529164.04,"-56.633381299572",-56.63,-63.10,4.15,4.15,"STAR",1,1,"3","Foodstuffs",3.00,"Food Products"
"Cambodia","Thailand","23","Food industries, residues and wastes thereof; prepared animal fodder",9511349.43,"-68.48436117257",-68.48,-63.10,1.29,1.29,"COW",1,-1,"3","Foodstuffs",3.00,"Food Products"
"Cambodia","Thailand","24","Tobacco and manufactured tobacco substitutes",38908.35,"-94.7729019777606",-94.77,-63.10,4.37017488200971e-03,4.37017488200971e-03,"DOG",-1,-1,"3","Foodstuffs",3.00,"Food Products"
"Cambodia","Thailand","25","Salt; sulphur; earths, stone; plastering materials, lime and cement",21696932.53,"-73.4747529028473",-73.47,-63.10,5.12,5.12,"COW",1,-1,"4","Mineral Products",4.00,"Minerals"
"Cambodia","Thailand","27","Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",69299977.42,"-78.7902445670065",-78.79,-63.10,1.22,1.22,"COW",1,-1,"5","Chemicals & Allied Industries",5.00,"Fuels"
